ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
226,AJ-946b,Benji World,Dholkov,DKV,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1.0,100.0,16748.5,ICA,20,1760974933039,1763566933039,
225,AJ-946b,Benji World,Dholkov,DKV,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1.0,100.0,16748.5,ICA,20,1760974931809,1763566931809,
224,AJ-946b,Benji World,Dholkov,DKV,limestone,LST,79f3917448cc4f6034ece865c41aea34,2.7300000190734863,1.0,100.0,16748.5,ICA,20,1760974930235,1763566930235,
10591,AM-783c,Ementior,Rose Capital,ROCA,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,100.0,80000.0,CIS,5,1761009560392,1761873560392,
10588,AM-783c,Ementior,Faasy Fon,FAAF,drinkingWater,DW,3f047ec3043bdd795fd7272d6be98799,0.10000000149011612,0.10000000149011612,100.0,11500.0,CIS,2,1760842780240,1761274780240,
3616,CB-282d,CB-282d,Endurance,ED24,hydrogen,H,54dec1e42eba44dda423dd774393326a,0.07000000029802322,1.0,5000.0,500000.0,CIS,3,1760812033801,1761676033801,
3555,CB-282d,CB-282d,Eminence Heavy Industries,EM32,pioneerBundle,PBU,1237e1d7ac57367e39b6a2406ca4dadc,13.0,8.0,5.0,90000.0,CIS,3,1759373465954,1761965465954,
3554,CB-282d,CB-282d,Eminence Heavy Industries,EM32,pioneerBundle,PBU,1237e1d7ac57367e39b6a2406ca4dadc,13.0,8.0,5.0,90000.0,CIS,3,1759373464701,1761965464701,
3553,CB-282d,CB-282d,Eminence Heavy Industries,EM32,pioneerBundle,PBU,1237e1d7ac57367e39b6a2406ca4dadc,13.0,8.0,5.0,90000.0,CIS,3,1759373463631,1761965463631,
7733,CH-771a,Pyrgos,Xenofungus,MUSH,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000.0,33000.0,CIS,3,1761396063174,1762692063174,
