cx,ticker,bid,ask,ts
IC1,EBU,,200000.0,1761416200623
NC1,REO,400.0,,1761416200623
AI1,EBU,160000.0,210000.0,1761416200623
AI1,KRE,,50000.0,1761416200623
IC1,SPT,,800.0,1761416200623
AI1,SPT,600.0,800.0,1761416200623
IC1,VF,8.0,,1761416200623
AI1,KR,500.0,2990.0,1761416200623
AI1,PFG,2000000.0,,1761416200623
AI1,VF,15.0,50.0,1761416200623
NC1,EBU,180000.0,210000.0,1761416200623
CI1,PBU,17500.0,18000.0,1761416200623
IC1,TBU,,57800.0,1761416200623
NC2,NG,,930.0,1761416200623
NC2,NUT,275.0,,1761416200623
IC1,CC,650000.0,,1761416200623
CI2,GL,,400.0,1761416200623
CI2,HD,,4000.0,1761416200623
CI2,NAB,,150.0,1761416200623
CI1,EBU,,210000.0,1761416200623
AI1,TBU,55000.0,,1761416200623
NC2,LI,,2190.0,1761416200623
AI1,SBU,30000.0,,1761416200623
AI1,NCS,40.0,44.5,1761416200623
NC2,PBU,10000.0,,1761416200623
NC2,AU,,1200.0,1761416200623
NC2,HCP,300.0,350.0,1761416200623
CI2,LSE,,10000.0,1761416200623
AI1,SRP,4000.0,20000.0,1761416200623
CI2,AR,200.0,,1761416200623
IC1,BLE,1500.0,2400.0,1761416200623
NC2,BWS,,23000.0,1761416200623
NC2,CAP,,250.0,1761416200623
AI1,CC,650000.0,2000000.0,1761416200623
CI1,CD,,20000.0,1761416200623
NC1,DOU,,260000.0,1761416200623
CI2,LES,,1500.0,1761416200623
IC1,NR,320.0,369.0,1761416200623
IC1,SCR,99.0,199.0,1761416200623
NC1,VG,2100.0,2360.0,1761416200623
AI1,BSC,40000.0,51100.0,1761416200623
NC1,ARP,,8500.0,1761416200623
CI2,BSE,1600.0,,1761416200623
IC1,HYR,1.0,1750000.0,1761416200623
NC2,IDC,,15400.0,1761416200623
NC2,SBU,20000.0,,1761416200623
AI1,SDM,1900000.0,4000000.0,1761416200623
NC2,TAI,,1000.0,1761416200623
CI1,TBU,50000.0,,1761416200623
AI1,ZIR,800.0,999.0,1761416200623
AI1,HE,101.0,114.0,1761416200623
NC2,AL,,1000.0,1761416200623
IC1,LD,,10000.0,1761416200623
IC1,AGS,,799000.0,1761416200623
CI2,BMF,22000.0,,1761416200623
NC2,BTA,1100.0,1500.0,1761416200623
NC2,CA,,1000.0,1761416200623
NC2,DCL,,6790.0,1761416200623
CI2,TI,,2000.0,1761416200623
NC2,FLX,,225.0,1761416200623
CI1,CBU,,390000.0,1761416200623
IC1,CU,1800.0,2780.0,1761416200623
CI1,GV,2000.0,2790.0,1761416200623
CI1,DW,95.7,99.8,1761416200623
CI2,HMS,,1950.0,1761416200623
NC2,BCO,,747.0,1761416200623
IC1,LFL,250000.0,444000.0,1761416200623
NC1,BID,,100000.0,1761416200623
NC2,BMF,,31000.0,1761416200623
NC1,JUI,1.0,99000.0,1761416200623
NC1,LD,10000.0,12000.0,1761416200623
IC1,LIT,,19600.0,1761416200623
IC1,PBU,16000.0,19000.0,1761416200623
NC2,SFK,,238.0,1761416200623
AI1,SFL,,79000.0,1761416200623
IC1,TCU,,175000.0,1761416200623
NC2,TUB,,180.0,1761416200623
IC1,MEA,3000.0,3360.0,1761416200623
NC1,CL,2820.0,3350.0,1761416200623
NC1,BGC,600.0,655.0,1761416200623
IC1,AMM,97.1,120.0,1761416200623
NC2,PIB,,700.0,1761416200623
NC1,PBU,16000.0,18900.0,1761416200623
CI1,NV1,140000.0,225000.0,1761416200623
CI1,BRS,200000.0,1000000.0,1761416200623
CI2,AMM,95.0,100.0,1761416200623
AI1,CD,10000.0,12000.0,1761416200623
AI1,DOU,,449000.0,1761416200623
AI1,HPR,,800000.0,1761416200623
AI1,MCB,,375000.0,1761416200623
NC2,PPA,220.0,,1761416200623
NC1,RDL,900000.0,,1761416200623
NC2,TPU,,4000.0,1761416200623
CI1,AST,2000.0,3990.0,1761416200623
AI1,SSL,,100000.0,1761416200623
NC2,GV,,2440.0,1761416200623
AI1,ACS,140000.0,175000.0,1761416200623
NC1,BR2,500000.0,800000.0,1761416200623
CI1,BSC,30000.0,46900.0,1761416200623
NC1,CHA,55000.0,100000.0,1761416200623
CI2,CL,2300.0,4000.0,1761416200623
NC2,CL,,3500.0,1761416200623
NC2,EPO,,170.0,1761416200623
CI2,EXO,,300.0,1761416200623
CI1,FAN,,2100.0,1761416200623
CI2,KOM,750.0,999.0,1761416200623
CI1,LD,9000.0,10000.0,1761416200623
NC2,MHP,,5000.0,1761416200623
CI2,MSL,90000.0,,1761416200623
NC1,NV1,135000.0,139000.0,1761416200623
AI1,PK,450.0,475.0,1761416200623
NC1,SP,2500.0,2570.0,1761416200623
NC2,TCL,,3500.0,1761416200623
AI1,TRA,1500.0,2790.0,1761416200623
NC2,VG,,2400.0,1761416200623
AI1,QCR,700000.0,1290000.0,1761416200623
CI2,BDE,2000.0,2300.0,1761416200623
CI1,FOD,25.0,495.0,1761416200623
IC1,CQL,1.0,,1761416200623
AI1,BER,290.0,523.0,1761416200623
AI1,AHP,8500.0,9500.0,1761416200623
NC1,HOP,3000.0,3370.0,1761416200623
NC2,RAD,,14500.0,1761416200623
CI1,O,92.2,94.0,1761416200623
NC1,BFR,4000.0,5900.0,1761416200623
CI1,SFE,,57900.0,1761416200623
NC1,HAB,,118000.0,1761416200623
NC2,ACS,,124000.0,1761416200623
IC1,ADR,70000.0,,1761416200623
NC2,BAC,,2250.0,1761416200623
CI2,BWS,22000.0,,1761416200623
AI1,CAP,300.0,398.0,1761416200623
CI2,CQS,600000.0,,1761416200623
CI1,CQT,100000.0,320000.0,1761416200623
CI1,DIS,4700.0,8800.0,1761416200623
IC1,FC,4200.0,5460.0,1761416200623
CI2,FIM,,4000.0,1761416200623
NC2,RDE,,35000.0,1761416200623
NC2,SF,8.0,15.0,1761416200623
IC1,TCO,,560.0,1761416200623
CI2,VG,,5000.0,1761416200623
CI1,I,518.0,900.0,1761416200623
CI2,CTF,16000.0,,1761416200623
NC1,BSE,1610.0,1630.0,1761416200623
CI1,BMF,,34000.0,1761416200623
CI1,BAI,17000.0,,1761416200623
AI1,BR1,600000.0,960000.0,1761416200623
CI2,NFI,8.0,15.0,1761416200623
CI1,AL,1020.0,1160.0,1761416200623
NC1,CLI,150.0,235.0,1761416200623
IC1,CBL,91000.0,100000.0,1761416200623
NC1,ADR,82000.0,120000.0,1761416200623
AI1,ETC,,19900.0,1761416200623
AI1,ARP,,10000.0,1761416200623
NC2,BHP,,3700.0,1761416200623
NC2,CBM,,69900.0,1761416200623
IC1,CF,3000.0,7840.0,1761416200623
AI1,CST,,4450.0,1761416200623
CI1,CTF,14000.0,,1761416200623
NC2,CTF,,20500.0,1761416200623
NC1,DA,50000.0,,1761416200623
IC1,DCH,20000.0,,1761416200623
CI1,DDT,2400.0,3800.0,1761416200623
AI1,GC,80.0,360.0,1761416200623
AI1,SEQ,18000.0,19000.0,1761416200623
AI1,SIL,,2840.0,1761416200623
CI1,CAF,1350.0,2000.0,1761416200623
CI1,MHL,3810.0,4800.0,1761416200623
CI1,CCD,80000.0,90000.0,1761416200623
AI1,BBH,2500.0,2550.0,1761416200623
CI1,SSC,376.0,640.0,1761416200623
AI1,MHL,4500.0,5310.0,1761416200623
IC1,SEN,700.0,1850.0,1761416200623
NC2,MHL,,4900.0,1761416200623
NC2,DCM,,4900.0,1761416200623
IC1,BGC,500.0,599.0,1761416200623
AI1,COF,772.0,866.0,1761416200623
CI2,ASE,33000.0,,1761416200623
IC1,AWH,,24800.0,1761416200623
NC1,AWH,12000.0,19000.0,1761416200623
AI1,BLE,2000.0,3000.0,1761416200623
NC2,CD,,13200.0,1761416200623
CI2,CLI,170.0,250.0,1761416200623
NC2,DCS,,1840.0,1761416200623
CI1,DD,,44400.0,1761416200623
CI2,DDT,,3500.0,1761416200623
IC1,DIS,,6500.0,1761416200623
CI1,DOU,,449000.0,1761416200623
IC1,ENG,100000.0,1100000.0,1761416200623
NC1,LIS,451000.0,475000.0,1761416200623
NC2,NA,1.0,16.0,1761416200623
CI2,OVE,101.0,125.0,1761416200623
CI2,SIL,,10000.0,1761416200623
NC2,CLI,,375.0,1761416200623
NC2,GIN,1300.0,1900.0,1761416200623
CI2,PE,,12.0,1761416200623
CI1,FAL,,4250.0,1761416200623
NC2,FE,625.0,850.0,1761416200623
AI1,PDA,2200.0,2400.0,1761416200623
AI1,N,124.0,125.0,1761416200623
IC1,ADS,90000.0,120000.0,1761416200623
CI1,BL,8000.0,9000.0,1761416200623
NC1,BPT,4800.0,11500.0,1761416200623
NC2,BSC,,52000.0,1761416200623
IC1,BWH,3500.0,,1761416200623
CI1,CQS,600000.0,900000.0,1761416200623
CI1,CST,,2400.0,1761416200623
NC1,DIS,,8800.0,1761416200623
AI1,DRF,5200.0,5700.0,1761416200623
CI1,EDC,8000.0,9400.0,1761416200623
CI2,EDC,,11000.0,1761416200623
NC2,EXO,,310.0,1761416200623
CI1,HD,2100.0,2650.0,1761416200623
NC2,HER,1750.0,2400.0,1761416200623
NC2,PSL,,4130.0,1761416200623
AI1,RDL,1200000.0,1500000.0,1761416200623
CI2,S,,250.0,1761416200623
CI2,SCN,,2500.0,1761416200623
IC1,ACS,,140000.0,1761416200623
IC1,BAC,2100.0,2300.0,1761416200623
IC1,FAL,1000.0,2680.0,1761416200623
NC1,BE,1300.0,1600.0,1761416200623
IC1,BCO,650.0,681.0,1761416200623
AI1,HEX,1000.0,2000.0,1761416200623
IC1,CBS,42000.0,43800.0,1761416200623
CI1,WR,140000.0,,1761416200623
IC1,SIL,,2530.0,1761416200623
CI1,THF,411.0,459.0,1761416200623
NC2,ADS,,128000.0,1761416200623
NC1,BLE,1900.0,2400.0,1761416200623
CI1,BR2,,949000.0,1761416200623
NC1,CA,207.0,1200.0,1761416200623
